prime_mover_code,energy_source_code,boiler_firing_type,emission_factor,emission_factor_numerator,emission_factor_denominator,multiply_by_sulfur_content
OT,AB,cell_burner,0.08,lb,short ton,0
OT,AB,cyclone_firing,0.08,lb,short ton,0
OT,AB,duct_burner,0.08,lb,short ton,0
OT,AB,fluidized_bed_firing,0.01,lb,short ton,0
OT,AB,none,0.08,lb,short ton,0
OT,AB,other,0.08,lb,short ton,0
OT,AB,stoker,0.08,lb,short ton,0
OT,AB,tangential_firing,0.08,lb,short ton,0
OT,AB,vertical_firing,0.08,lb,short ton,0
OT,AB,wall_fired,0.08,lb,short ton,0
ST,AB,cell_burner,0.08,lb,short ton,0
ST,AB,cyclone_firing,0.08,lb,short ton,0
ST,AB,duct_burner,0.08,lb,short ton,0
ST,AB,fluidized_bed_firing,0.01,lb,short ton,0
ST,AB,none,0.08,lb,short ton,0
ST,AB,other,0.08,lb,short ton,0
ST,AB,stoker,0.08,lb,short ton,0
ST,AB,tangential_firing,0.08,lb,short ton,0
ST,AB,vertical_firing,0.08,lb,short ton,0
ST,AB,wall_fired,0.08,lb,short ton,0
CA,BFG,cell_burner,0.0006,lb,Mcf,0
CA,BFG,cyclone_firing,0.0006,lb,Mcf,0
CA,BFG,duct_burner,0.0006,lb,Mcf,0
CA,BFG,fluidized_bed_firing,0.0006,lb,Mcf,0
CA,BFG,none,0.0006,lb,Mcf,0
CA,BFG,other,0.0006,lb,Mcf,0
CA,BFG,stoker,0.0006,lb,Mcf,0
CA,BFG,tangential_firing,0.0006,lb,Mcf,0
CA,BFG,vertical_firing,0.0006,lb,Mcf,0
CA,BFG,wall_fired,0.0006,lb,Mcf,0
CS,BFG,cell_burner,0.0006,lb,Mcf,0
CS,BFG,cyclone_firing,0.0006,lb,Mcf,0
CS,BFG,duct_burner,0.0006,lb,Mcf,0
CS,BFG,fluidized_bed_firing,0.0006,lb,Mcf,0
CS,BFG,none,0.0006,lb,Mcf,0
CS,BFG,other,0.0006,lb,Mcf,0
CS,BFG,stoker,0.0006,lb,Mcf,0
CS,BFG,tangential_firing,0.0006,lb,Mcf,0
CS,BFG,vertical_firing,0.0006,lb,Mcf,0
CS,BFG,wall_fired,0.0006,lb,Mcf,0
CT,BFG,cell_burner,0.0006,lb,Mcf,0
CT,BFG,cyclone_firing,0.0006,lb,Mcf,0
CT,BFG,duct_burner,0.0006,lb,Mcf,0
CT,BFG,fluidized_bed_firing,0.0006,lb,Mcf,0
CT,BFG,none,0.0006,lb,Mcf,0
CT,BFG,other,0.0006,lb,Mcf,0
CT,BFG,stoker,0.0006,lb,Mcf,0
CT,BFG,tangential_firing,0.0006,lb,Mcf,0
CT,BFG,vertical_firing,0.0006,lb,Mcf,0
CT,BFG,wall_fired,0.0006,lb,Mcf,0
GT,BFG,cell_burner,0.0006,lb,Mcf,0
GT,BFG,cyclone_firing,0.0006,lb,Mcf,0
GT,BFG,duct_burner,0.0006,lb,Mcf,0
GT,BFG,fluidized_bed_firing,0.0006,lb,Mcf,0
GT,BFG,none,0.0006,lb,Mcf,0
GT,BFG,other,0.0006,lb,Mcf,0
GT,BFG,stoker,0.0006,lb,Mcf,0
GT,BFG,tangential_firing,0.0006,lb,Mcf,0
GT,BFG,vertical_firing,0.0006,lb,Mcf,0
GT,BFG,wall_fired,0.0006,lb,Mcf,0
IC,BFG,cell_burner,0.0006,lb,Mcf,0
IC,BFG,cyclone_firing,0.0006,lb,Mcf,0
IC,BFG,duct_burner,0.0006,lb,Mcf,0
IC,BFG,fluidized_bed_firing,0.0006,lb,Mcf,0
IC,BFG,none,0.0006,lb,Mcf,0
IC,BFG,other,0.0006,lb,Mcf,0
IC,BFG,stoker,0.0006,lb,Mcf,0
IC,BFG,tangential_firing,0.0006,lb,Mcf,0
IC,BFG,vertical_firing,0.0006,lb,Mcf,0
IC,BFG,wall_fired,0.0006,lb,Mcf,0
OT,BFG,cell_burner,0.0006,lb,Mcf,0
OT,BFG,cyclone_firing,0.0006,lb,Mcf,0
OT,BFG,duct_burner,0.0006,lb,Mcf,0
OT,BFG,fluidized_bed_firing,0.00006,lb,Mcf,0
OT,BFG,none,0.0006,lb,Mcf,0
OT,BFG,other,0.0006,lb,Mcf,0
OT,BFG,stoker,0.0006,lb,Mcf,0
OT,BFG,tangential_firing,0.0006,lb,Mcf,0
OT,BFG,vertical_firing,0.0006,lb,Mcf,0
OT,BFG,wall_fired,0.0006,lb,Mcf,0
ST,BFG,cell_burner,0.0006,lb,Mcf,0
ST,BFG,cyclone_firing,0.0006,lb,Mcf,0
ST,BFG,duct_burner,0.0006,lb,Mcf,0
ST,BFG,fluidized_bed_firing,0.00006,lb,Mcf,0
ST,BFG,none,0.0006,lb,Mcf,0
ST,BFG,other,0.0006,lb,Mcf,0
ST,BFG,stoker,0.0006,lb,Mcf,0
ST,BFG,tangential_firing,0.0006,lb,Mcf,0
ST,BFG,vertical_firing,0.0006,lb,Mcf,0
ST,BFG,wall_fired,0.0006,lb,Mcf,0
CA,BIT,duct_burner,38*S,lb,short ton,1
CA,BIT,none,38*S,lb,short ton,1
OT,BIT,cell_burner,38*S,lb,short ton,1
OT,BIT,cyclone_firing,38*S,lb,short ton,1
OT,BIT,duct_burner,38*S,lb,short ton,1
OT,BIT,fluidized_bed_firing,3.8*S,lb,short ton,1
OT,BIT,none,38*S,lb,short ton,1
OT,BIT,other,38*S,lb,short ton,1
OT,BIT,stoker,38*S,lb,short ton,1
OT,BIT,tangential_firing,38*S,lb,short ton,1
OT,BIT,vertical_firing,38*S,lb,short ton,1
OT,BIT,wall_fired,38*S,lb,short ton,1
ST,BIT,cell_burner,38*S,lb,short ton,1
ST,BIT,cyclone_firing,38*S,lb,short ton,1
ST,BIT,duct_burner,38*S,lb,short ton,1
ST,BIT,fluidized_bed_firing,3.8*S,lb,short ton,1
ST,BIT,none,38*S,lb,short ton,1
ST,BIT,other,38*S,lb,short ton,1
ST,BIT,stoker,38*S,lb,short ton,1
ST,BIT,tangential_firing,38*S,lb,short ton,1
ST,BIT,vertical_firing,38*S,lb,short ton,1
ST,BIT,wall_fired,38*S,lb,short ton,1
OT,BLQ,cell_burner,7,lb,short ton,0
OT,BLQ,cyclone_firing,7,lb,short ton,0
OT,BLQ,duct_burner,7,lb,short ton,0
OT,BLQ,fluidized_bed_firing,0.7,lb,short ton,0
OT,BLQ,none,7,lb,short ton,0
OT,BLQ,other,7,lb,short ton,0
OT,BLQ,stoker,7,lb,short ton,0
OT,BLQ,tangential_firing,7,lb,short ton,0
OT,BLQ,vertical_firing,7,lb,short ton,0
OT,BLQ,wall_fired,7,lb,short ton,0
ST,BLQ,cell_burner,7,lb,short ton,0
ST,BLQ,cyclone_firing,7,lb,short ton,0
ST,BLQ,duct_burner,7,lb,short ton,0
ST,BLQ,fluidized_bed_firing,0.7,lb,short ton,0
ST,BLQ,none,7,lb,short ton,0
ST,BLQ,other,7,lb,short ton,0
ST,BLQ,stoker,7,lb,short ton,0
ST,BLQ,tangential_firing,7,lb,short ton,0
ST,BLQ,vertical_firing,7,lb,short ton,0
ST,BLQ,wall_fired,7,lb,short ton,0
CA,DFO,cell_burner,5.88*S,lb,barrel,1
CA,DFO,cyclone_firing,5.88*S,lb,barrel,1
CA,DFO,duct_burner,5.88*S,lb,barrel,1
CA,DFO,fluidized_bed_firing,5.88*S,lb,barrel,1
CA,DFO,none,5.88*S,lb,barrel,1
CA,DFO,other,5.88*S,lb,barrel,1
CA,DFO,stoker,5.88*S,lb,barrel,1
CA,DFO,tangential_firing,5.88*S,lb,barrel,1
CA,DFO,vertical_firing,5.88*S,lb,barrel,1
CA,DFO,wall_fired,5.88*S,lb,barrel,1
CS,DFO,cell_burner,5.88*S,lb,barrel,1
CS,DFO,cyclone_firing,5.88*S,lb,barrel,1
CS,DFO,duct_burner,5.88*S,lb,barrel,1
CS,DFO,fluidized_bed_firing,5.88*S,lb,barrel,1
CS,DFO,none,5.88*S,lb,barrel,1
CS,DFO,other,5.88*S,lb,barrel,1
CS,DFO,stoker,5.88*S,lb,barrel,1
CS,DFO,tangential_firing,5.88*S,lb,barrel,1
CS,DFO,vertical_firing,5.88*S,lb,barrel,1
CS,DFO,wall_fired,5.88*S,lb,barrel,1
CT,DFO,cell_burner,5.88*S,lb,barrel,1
CT,DFO,cyclone_firing,5.88*S,lb,barrel,1
CT,DFO,duct_burner,5.88*S,lb,barrel,1
CT,DFO,fluidized_bed_firing,5.88*S,lb,barrel,1
CT,DFO,none,5.88*S,lb,barrel,1
CT,DFO,other,5.88*S,lb,barrel,1
CT,DFO,stoker,5.88*S,lb,barrel,1
CT,DFO,tangential_firing,5.88*S,lb,barrel,1
CT,DFO,vertical_firing,5.88*S,lb,barrel,1
CT,DFO,wall_fired,5.88*S,lb,barrel,1
GT,DFO,cell_burner,5.88*S,lb,barrel,1
GT,DFO,cyclone_firing,5.88*S,lb,barrel,1
GT,DFO,duct_burner,5.88*S,lb,barrel,1
GT,DFO,fluidized_bed_firing,5.88*S,lb,barrel,1
GT,DFO,none,5.88*S,lb,barrel,1
GT,DFO,other,5.88*S,lb,barrel,1
GT,DFO,stoker,5.88*S,lb,barrel,1
GT,DFO,tangential_firing,5.88*S,lb,barrel,1
GT,DFO,vertical_firing,5.88*S,lb,barrel,1
GT,DFO,wall_fired,5.88*S,lb,barrel,1
IC,DFO,cell_burner,5.88*S,lb,barrel,1
IC,DFO,cyclone_firing,5.88*S,lb,barrel,1
IC,DFO,duct_burner,5.88*S,lb,barrel,1
IC,DFO,fluidized_bed_firing,5.88*S,lb,barrel,1
IC,DFO,none,5.88*S,lb,barrel,1
IC,DFO,other,5.88*S,lb,barrel,1
IC,DFO,stoker,5.88*S,lb,barrel,1
IC,DFO,tangential_firing,5.88*S,lb,barrel,1
IC,DFO,vertical_firing,5.88*S,lb,barrel,1
IC,DFO,wall_fired,5.88*S,lb,barrel,1
OT,DFO,cell_burner,5.964*S,lb,barrel,1
OT,DFO,cyclone_firing,5.964*S,lb,barrel,1
OT,DFO,duct_burner,5.964*S,lb,barrel,1
OT,DFO,fluidized_bed_firing,0.5964*S,lb,barrel,1
OT,DFO,none,5.964*S,lb,barrel,1
OT,DFO,other,5.964*S,lb,barrel,1
OT,DFO,stoker,5.964*S,lb,barrel,1
OT,DFO,tangential_firing,5.964*S,lb,barrel,1
OT,DFO,vertical_firing,5.964*S,lb,barrel,1
OT,DFO,wall_fired,5.964*S,lb,barrel,1
ST,DFO,cell_burner,5.964*S,lb,barrel,1
ST,DFO,cyclone_firing,5.964*S,lb,barrel,1
ST,DFO,duct_burner,5.964*S,lb,barrel,1
ST,DFO,fluidized_bed_firing,0.5964*S,lb,barrel,1
ST,DFO,none,5.964*S,lb,barrel,1
ST,DFO,other,5.964*S,lb,barrel,1
ST,DFO,stoker,5.964*S,lb,barrel,1
ST,DFO,tangential_firing,5.964*S,lb,barrel,1
ST,DFO,vertical_firing,5.964*S,lb,barrel,1
ST,DFO,wall_fired,5.964*S,lb,barrel,1
CA,JF,cell_burner,5.88*S,lb,barrel,1
CA,JF,cyclone_firing,5.88*S,lb,barrel,1
CA,JF,duct_burner,5.88*S,lb,barrel,1
CA,JF,fluidized_bed_firing,5.88*S,lb,barrel,1
CA,JF,none,5.88*S,lb,barrel,1
CA,JF,other,5.88*S,lb,barrel,1
CA,JF,stoker,5.88*S,lb,barrel,1
CA,JF,tangential_firing,5.88*S,lb,barrel,1
CA,JF,vertical_firing,5.88*S,lb,barrel,1
CA,JF,wall_fired,5.88*S,lb,barrel,1
CS,JF,cell_burner,5.88*S,lb,barrel,1
CS,JF,cyclone_firing,5.88*S,lb,barrel,1
CS,JF,duct_burner,5.88*S,lb,barrel,1
CS,JF,fluidized_bed_firing,5.88*S,lb,barrel,1
CS,JF,none,5.88*S,lb,barrel,1
CS,JF,other,5.88*S,lb,barrel,1
CS,JF,stoker,5.88*S,lb,barrel,1
CS,JF,tangential_firing,5.88*S,lb,barrel,1
CS,JF,vertical_firing,5.88*S,lb,barrel,1
CS,JF,wall_fired,5.88*S,lb,barrel,1
CT,JF,cell_burner,5.88*S,lb,barrel,1
CT,JF,cyclone_firing,5.88*S,lb,barrel,1
CT,JF,duct_burner,5.88*S,lb,barrel,1
CT,JF,fluidized_bed_firing,5.88*S,lb,barrel,1
CT,JF,none,5.88*S,lb,barrel,1
CT,JF,other,5.88*S,lb,barrel,1
CT,JF,stoker,5.88*S,lb,barrel,1
CT,JF,tangential_firing,5.88*S,lb,barrel,1
CT,JF,vertical_firing,5.88*S,lb,barrel,1
CT,JF,wall_fired,5.88*S,lb,barrel,1
GT,JF,cell_burner,5.88*S,lb,barrel,1
GT,JF,cyclone_firing,5.88*S,lb,barrel,1
GT,JF,duct_burner,5.88*S,lb,barrel,1
GT,JF,fluidized_bed_firing,5.88*S,lb,barrel,1
GT,JF,none,5.88*S,lb,barrel,1
GT,JF,other,5.88*S,lb,barrel,1
GT,JF,stoker,5.88*S,lb,barrel,1
GT,JF,tangential_firing,5.88*S,lb,barrel,1
GT,JF,vertical_firing,5.88*S,lb,barrel,1
GT,JF,wall_fired,5.88*S,lb,barrel,1
IC,JF,cell_burner,5.88*S,lb,barrel,1
IC,JF,cyclone_firing,5.88*S,lb,barrel,1
IC,JF,duct_burner,5.88*S,lb,barrel,1
IC,JF,fluidized_bed_firing,5.88*S,lb,barrel,1
IC,JF,none,5.88*S,lb,barrel,1
IC,JF,other,5.88*S,lb,barrel,1
IC,JF,stoker,5.88*S,lb,barrel,1
IC,JF,tangential_firing,5.88*S,lb,barrel,1
IC,JF,vertical_firing,5.88*S,lb,barrel,1
IC,JF,wall_fired,5.88*S,lb,barrel,1
OT,JF,cell_burner,5.964*S,lb,barrel,1
OT,JF,cyclone_firing,5.964*S,lb,barrel,1
OT,JF,duct_burner,5.964*S,lb,barrel,1
OT,JF,fluidized_bed_firing,0.5964*S,lb,barrel,1
OT,JF,none,5.964*S,lb,barrel,1
OT,JF,other,5.964*S,lb,barrel,1
OT,JF,stoker,5.964*S,lb,barrel,1
OT,JF,tangential_firing,5.964*S,lb,barrel,1
OT,JF,vertical_firing,5.964*S,lb,barrel,1
OT,JF,wall_fired,5.964*S,lb,barrel,1
ST,JF,cell_burner,5.964*S,lb,barrel,1
ST,JF,cyclone_firing,5.964*S,lb,barrel,1
ST,JF,duct_burner,5.964*S,lb,barrel,1
ST,JF,fluidized_bed_firing,0.5964*S,lb,barrel,1
ST,JF,none,5.964*S,lb,barrel,1
ST,JF,other,5.964*S,lb,barrel,1
ST,JF,stoker,5.964*S,lb,barrel,1
ST,JF,tangential_firing,5.964*S,lb,barrel,1
ST,JF,vertical_firing,5.964*S,lb,barrel,1
ST,JF,wall_fired,5.964*S,lb,barrel,1
CA,KER,cell_burner,5.88*S,lb,barrel,1
CA,KER,cyclone_firing,5.88*S,lb,barrel,1
CA,KER,duct_burner,5.88*S,lb,barrel,1
CA,KER,fluidized_bed_firing,5.88*S,lb,barrel,1
CA,KER,none,5.88*S,lb,barrel,1
CA,KER,other,5.88*S,lb,barrel,1
CA,KER,stoker,5.88*S,lb,barrel,1
CA,KER,tangential_firing,5.88*S,lb,barrel,1
CA,KER,vertical_firing,5.88*S,lb,barrel,1
CA,KER,wall_fired,5.88*S,lb,barrel,1
CS,KER,cell_burner,5.88*S,lb,barrel,1
CS,KER,cyclone_firing,5.88*S,lb,barrel,1
CS,KER,duct_burner,5.88*S,lb,barrel,1
CS,KER,fluidized_bed_firing,5.88*S,lb,barrel,1
CS,KER,none,5.88*S,lb,barrel,1
CS,KER,other,5.88*S,lb,barrel,1
CS,KER,stoker,5.88*S,lb,barrel,1
CS,KER,tangential_firing,5.88*S,lb,barrel,1
CS,KER,vertical_firing,5.88*S,lb,barrel,1
CS,KER,wall_fired,5.88*S,lb,barrel,1
CT,KER,cell_burner,5.88*S,lb,barrel,1
CT,KER,cyclone_firing,5.88*S,lb,barrel,1
CT,KER,duct_burner,5.88*S,lb,barrel,1
CT,KER,fluidized_bed_firing,5.88*S,lb,barrel,1
CT,KER,none,5.88*S,lb,barrel,1
CT,KER,other,5.88*S,lb,barrel,1
CT,KER,stoker,5.88*S,lb,barrel,1
CT,KER,tangential_firing,5.88*S,lb,barrel,1
CT,KER,vertical_firing,5.88*S,lb,barrel,1
CT,KER,wall_fired,5.88*S,lb,barrel,1
GT,KER,cell_burner,5.88*S,lb,barrel,1
GT,KER,cyclone_firing,5.88*S,lb,barrel,1
GT,KER,duct_burner,5.88*S,lb,barrel,1
GT,KER,fluidized_bed_firing,5.88*S,lb,barrel,1
GT,KER,none,5.88*S,lb,barrel,1
GT,KER,other,5.88*S,lb,barrel,1
GT,KER,stoker,5.88*S,lb,barrel,1
GT,KER,tangential_firing,5.88*S,lb,barrel,1
GT,KER,vertical_firing,5.88*S,lb,barrel,1
GT,KER,wall_fired,5.88*S,lb,barrel,1
IC,KER,cell_burner,5.88*S,lb,barrel,1
IC,KER,cyclone_firing,5.88*S,lb,barrel,1
IC,KER,duct_burner,5.88*S,lb,barrel,1
IC,KER,fluidized_bed_firing,5.88*S,lb,barrel,1
IC,KER,none,5.88*S,lb,barrel,1
IC,KER,other,5.88*S,lb,barrel,1
IC,KER,stoker,5.88*S,lb,barrel,1
IC,KER,tangential_firing,5.88*S,lb,barrel,1
IC,KER,vertical_firing,5.88*S,lb,barrel,1
IC,KER,wall_fired,5.88*S,lb,barrel,1
OT,KER,cell_burner,5.964*S,lb,barrel,1
OT,KER,cyclone_firing,5.964*S,lb,barrel,1
OT,KER,duct_burner,5.964*S,lb,barrel,1
OT,KER,fluidized_bed_firing,0.5964*S,lb,barrel,1
OT,KER,none,5.964*S,lb,barrel,1
OT,KER,other,5.964*S,lb,barrel,1
OT,KER,stoker,5.964*S,lb,barrel,1
OT,KER,tangential_firing,5.964*S,lb,barrel,1
OT,KER,vertical_firing,5.964*S,lb,barrel,1
OT,KER,wall_fired,5.964*S,lb,barrel,1
ST,KER,cell_burner,5.964*S,lb,barrel,1
ST,KER,cyclone_firing,5.964*S,lb,barrel,1
ST,KER,duct_burner,5.964*S,lb,barrel,1
ST,KER,fluidized_bed_firing,0.5964*S,lb,barrel,1
ST,KER,none,5.964*S,lb,barrel,1
ST,KER,other,5.964*S,lb,barrel,1
ST,KER,stoker,5.964*S,lb,barrel,1
ST,KER,tangential_firing,5.964*S,lb,barrel,1
ST,KER,vertical_firing,5.964*S,lb,barrel,1
ST,KER,wall_fired,5.964*S,lb,barrel,1
CA,LFG,cell_burner,0.0006,lb,Mcf,0
CA,LFG,cyclone_firing,0.0006,lb,Mcf,0
CA,LFG,duct_burner,0.0006,lb,Mcf,0
CA,LFG,fluidized_bed_firing,0.0006,lb,Mcf,0
CA,LFG,none,0.0006,lb,Mcf,0
CA,LFG,other,0.0006,lb,Mcf,0
CA,LFG,stoker,0.0006,lb,Mcf,0
CA,LFG,tangential_firing,0.0006,lb,Mcf,0
CA,LFG,vertical_firing,0.0006,lb,Mcf,0
CA,LFG,wall_fired,0.0006,lb,Mcf,0
CS,LFG,cell_burner,0.0006,lb,Mcf,0
CS,LFG,cyclone_firing,0.0006,lb,Mcf,0
CS,LFG,duct_burner,0.0006,lb,Mcf,0
CS,LFG,fluidized_bed_firing,0.0006,lb,Mcf,0
CS,LFG,none,0.0006,lb,Mcf,0
CS,LFG,other,0.0006,lb,Mcf,0
CS,LFG,stoker,0.0006,lb,Mcf,0
CS,LFG,tangential_firing,0.0006,lb,Mcf,0
CS,LFG,vertical_firing,0.0006,lb,Mcf,0
CS,LFG,wall_fired,0.0006,lb,Mcf,0
CT,LFG,cell_burner,0.0006,lb,Mcf,0
CT,LFG,cyclone_firing,0.0006,lb,Mcf,0
CT,LFG,duct_burner,0.0006,lb,Mcf,0
CT,LFG,fluidized_bed_firing,0.0006,lb,Mcf,0
CT,LFG,none,0.0006,lb,Mcf,0
CT,LFG,other,0.0006,lb,Mcf,0
CT,LFG,stoker,0.0006,lb,Mcf,0
CT,LFG,tangential_firing,0.0006,lb,Mcf,0
CT,LFG,vertical_firing,0.0006,lb,Mcf,0
CT,LFG,wall_fired,0.0006,lb,Mcf,0
GT,LFG,cell_burner,0.0006,lb,Mcf,0
GT,LFG,cyclone_firing,0.0006,lb,Mcf,0
GT,LFG,duct_burner,0.0006,lb,Mcf,0
GT,LFG,fluidized_bed_firing,0.0006,lb,Mcf,0
GT,LFG,none,0.0006,lb,Mcf,0
GT,LFG,other,0.0006,lb,Mcf,0
GT,LFG,stoker,0.0006,lb,Mcf,0
GT,LFG,tangential_firing,0.0006,lb,Mcf,0
GT,LFG,vertical_firing,0.0006,lb,Mcf,0
GT,LFG,wall_fired,0.0006,lb,Mcf,0
IC,LFG,cell_burner,0.0006,lb,Mcf,0
IC,LFG,cyclone_firing,0.0006,lb,Mcf,0
IC,LFG,duct_burner,0.0006,lb,Mcf,0
IC,LFG,fluidized_bed_firing,0.00006,lb,Mcf,0
IC,LFG,none,0.0006,lb,Mcf,0
IC,LFG,other,0.0006,lb,Mcf,0
IC,LFG,stoker,0.0006,lb,Mcf,0
IC,LFG,tangential_firing,0.0006,lb,Mcf,0
IC,LFG,vertical_firing,0.0006,lb,Mcf,0
IC,LFG,wall_fired,0.0006,lb,Mcf,0
OT,LFG,cell_burner,0.0006,lb,Mcf,0
OT,LFG,cyclone_firing,0.0006,lb,Mcf,0
OT,LFG,duct_burner,0.0006,lb,Mcf,0
OT,LFG,fluidized_bed_firing,0.00006,lb,Mcf,0
OT,LFG,none,0.0006,lb,Mcf,0
OT,LFG,other,0.0006,lb,Mcf,0
OT,LFG,stoker,0.0006,lb,Mcf,0
OT,LFG,tangential_firing,0.0006,lb,Mcf,0
OT,LFG,vertical_firing,0.0006,lb,Mcf,0
OT,LFG,wall_fired,0.0006,lb,Mcf,0
ST,LFG,cell_burner,0.0006,lb,Mcf,0
ST,LFG,cyclone_firing,0.0006,lb,Mcf,0
ST,LFG,duct_burner,0.0006,lb,Mcf,0
ST,LFG,fluidized_bed_firing,0.00006,lb,Mcf,0
ST,LFG,none,0.0006,lb,Mcf,0
ST,LFG,other,0.0006,lb,Mcf,0
ST,LFG,stoker,0.0006,lb,Mcf,0
ST,LFG,tangential_firing,0.0006,lb,Mcf,0
ST,LFG,vertical_firing,0.0006,lb,Mcf,0
ST,LFG,wall_fired,0.0006,lb,Mcf,0
OT,LIG,cell_burner,30*S,lb,short ton,1
OT,LIG,cyclone_firing,30*S,lb,short ton,1
OT,LIG,duct_burner,30*S,lb,short ton,1
OT,LIG,fluidized_bed_firing,3*S,lb,short ton,1
OT,LIG,none,30*S,lb,short ton,1
OT,LIG,other,30*S,lb,short ton,1
OT,LIG,stoker,30*S,lb,short ton,1
OT,LIG,tangential_firing,30*S,lb,short ton,1
OT,LIG,vertical_firing,30*S,lb,short ton,1
OT,LIG,wall_fired,30*S,lb,short ton,1
ST,LIG,cell_burner,30*S,lb,short ton,1
ST,LIG,cyclone_firing,30*S,lb,short ton,1
ST,LIG,duct_burner,30*S,lb,short ton,1
ST,LIG,fluidized_bed_firing,3*S,lb,short ton,1
ST,LIG,none,30*S,lb,short ton,1
ST,LIG,other,30*S,lb,short ton,1
ST,LIG,stoker,30*S,lb,short ton,1
ST,LIG,tangential_firing,30*S,lb,short ton,1
ST,LIG,vertical_firing,30*S,lb,short ton,1
ST,LIG,wall_fired,30*S,lb,short ton,1
ST,MSB,cell_burner,1.7,lb,short ton,0
ST,MSB,cyclone_firing,1.7,lb,short ton,0
ST,MSB,duct_burner,1.7,lb,short ton,0
ST,MSB,fluidized_bed_firing,0.17,lb,short ton,0
ST,MSB,none,1.7,lb,short ton,0
ST,MSB,other,1.7,lb,short ton,0
ST,MSB,stoker,1.7,lb,short ton,0
ST,MSB,tangential_firing,1.7,lb,short ton,0
ST,MSB,vertical_firing,1.7,lb,short ton,0
ST,MSB,wall_fired,1.7,lb,short ton,0
ST,MSN,cell_burner,1.7,lb,short ton,0
ST,MSN,cyclone_firing,1.7,lb,short ton,0
ST,MSN,duct_burner,1.7,lb,short ton,0
ST,MSN,fluidized_bed_firing,0.17,lb,short ton,0
ST,MSN,none,1.7,lb,short ton,0
ST,MSN,other,1.7,lb,short ton,0
ST,MSN,stoker,1.7,lb,short ton,0
ST,MSN,tangential_firing,1.7,lb,short ton,0
ST,MSN,vertical_firing,1.7,lb,short ton,0
ST,MSN,wall_fired,1.7,lb,short ton,0
OT,MSW,cell_burner,1.7,lb,short ton,0
OT,MSW,cyclone_firing,1.7,lb,short ton,0
OT,MSW,duct_burner,1.7,lb,short ton,0
OT,MSW,fluidized_bed_firing,0.17,lb,short ton,0
OT,MSW,none,1.7,lb,short ton,0
OT,MSW,other,1.7,lb,short ton,0
